"filename", "language", "JavaScript", "CSS", "SQL", "HTML", "comment", "blank", "total"
"c:\University\FOURTH YEAR\ECV\Selecta\public\client.js", "JavaScript", 214, 0, 0, 0, 73, 58, 345
"c:\University\FOURTH YEAR\ECV\Selecta\public\framework\html.js", "JavaScript", 162, 0, 0, 0, 115, 48, 325
"c:\University\FOURTH YEAR\ECV\Selecta\public\framework\javascript.js", "JavaScript", 409, 0, 0, 0, 67, 122, 598
"c:\University\FOURTH YEAR\ECV\Selecta\public\mvc\controller.js", "JavaScript", 296, 0, 0, 0, 70, 81, 447
"c:\University\FOURTH YEAR\ECV\Selecta\public\mvc\model.js", "JavaScript", 164, 0, 0, 0, 47, 51, 262
"c:\University\FOURTH YEAR\ECV\Selecta\public\mvc\view.js", "JavaScript", 217, 0, 0, 0, 72, 77, 366
"c:\University\FOURTH YEAR\ECV\Selecta\public\utils\youtube.js", "JavaScript", 317, 0, 0, 0, 41, 47, 405
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\app.css", "CSS", 0, 52, 0, 0, 4, 10, 66
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\error.css", "CSS", 0, 53, 0, 0, 0, 8, 61
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\login.css", "CSS", 0, 40, 0, 0, 1, 5, 46
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\auth.css", "CSS", 0, 87, 0, 0, 3, 12, 102
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\auth_providers.css", "CSS", 0, 52, 0, 0, 1, 9, 62
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\interfaces\loading.css", "CSS", 0, 46, 0, 0, 1, 6, 53
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\interfaces\logout.css", "CSS", 0, 30, 0, 0, 1, 3, 34
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\interfaces\menu.css", "CSS", 0, 31, 0, 0, 1, 5, 37
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\interfaces\player.css", "CSS", 0, 174, 0, 0, 4, 27, 205
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\interfaces\search.css", "CSS", 0, 145, 0, 0, 1, 19, 165
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\interfaces\settings.css", "CSS", 0, 153, 0, 0, 6, 25, 184
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\interfaces\vote.css", "CSS", 0, 145, 0, 0, 1, 19, 165
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\partials\templates.css", "CSS", 0, 273, 0, 0, 9, 57, 339
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\selecta.css", "CSS", 0, 89, 0, 0, 4, 12, 105
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\css\signup.css", "CSS", 0, 40, 0, 0, 1, 5, 46
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\js\login.js", "JavaScript", 15, 0, 0, 0, 2, 5, 22
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\js\selecta.js", "JavaScript", 515, 0, 0, 0, 174, 166, 855
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\js\signup.js", "JavaScript", 17, 0, 0, 0, 2, 5, 24
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\collada.js", "JavaScript", 2387, 0, 0, 0, 259, 466, 3112
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\ejs.js", "JavaScript", 1052, 0, 0, 0, 499, 170, 1721
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\flags\country-flag.css", "CSS", 0, 725, 0, 0, 3, 241, 969
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\flags\country-flag.js", "JavaScript", 88, 0, 0, 0, 74, 22, 184
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\gl-matrix-min.js", "JavaScript", 1, 0, 0, 0, 27, 0, 28
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\gl-matrix.js", "JavaScript", 2079, 0, 0, 0, 1819, 418, 4316
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\litegl.js", "JavaScript", 9863, 0, 0, 0, 2997, 1792, 14652
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\rendeer.js", "JavaScript", 9877, 0, 0, 0, 1540, 1700, 13117
"c:\University\FOURTH YEAR\ECV\Selecta\public\views\libs\walkArea.js", "JavaScript", 129, 0, 0, 0, 6, 22, 157
